1993	1993
1994	1994
1995	1995
1995	13484
1995	79096
1996	1996
1997	1997
1998	1998
2001	2001
2004	2004
2005	2005
2005	25961
2005	45931
2005	60720
2006	2006
2007	2007
2008	2008
2009	2009
2012	2012
2015	2015
2016	2016
2016	61212
2016	61492
2016	73703
2016	75253
3138	3138
3140	3140
3141	3141
3142	3142
3146	3146
3148	3148
3148	62934
3148	65927
3148	82595
3150	3150
3150	14647
3150	52322
3151	3151
3152	3152
3153	3153
3154	3154
3157	3157
3158	3158
3159	3159
3159	75994
3159	47796
3160	3160
3161	3161
3163	3163
3164	3164
3168	3168
3170	3170
3171	3171
3172	3172
3173	3173
3174	3174
3177	3177
3177	4075
3177	35428
3177	41695
3177	52992
3177	66425
3178	3178
3180	3180
3185	3185
3186	3186
3187	3187
3188	3188
3189	3189
3191	3191
3192	3192
3192	9557
3192	86240
3193	3193
3194	3194
3195	3195
3196	3196
3196	25493
3198	3198
3199	3199
3199	8674
3199	12668
3199	22527
3199	30893
3199	40706
3199	28856
3199	47907
3199	62756
3199	72383
3201	3201
3202	3202
3203	3203
3206	3206
3211	3211
3212	3212
3213	3213
3214	3214
3216	3216
3219	3219
3220	3220
3221	3221
3222	3222
3224	3224
3225	3225
3226	3226
3226	9015
3226	26243
3226	35023
3226	47535
3228	3228
3230	3230
3231	3231
3232	3232
3233	3233
3234	3234
3235	3235
3236	3236
3236	17690
3236	86068
3236	33074
3237	3237
3238	3238
3239	3239
3240	3240
3242	3242
3242	42956
3242	59438
3243	3243
3244	3244
3245	3245
3246	3246
3248	3248
3249	3249
3249	51648
3249	79711
3249	9248
3249	30716
3249	2149
3251	3251
4495	4495
4495	10659
4495	13573
4495	23466
4495	35728
4499	4499
4500	4500
4501	4501
4503	4503
4508	4508
4509	4509
4511	4511
4512	4512
4515	4515
4515	10941
4515	10993
4516	4516
4517	4517
4519	4519
4521	4521
4521	53647
4521	53858
4521	82407
4521	24340
4522	4522
4523	4523
4524	4524
4525	4525
4527	4527
4528	4528
4529	4529
4530	4530
4531	4531
4533	4533
4543	4543
4546	4546
4547	4547
4549	4549
4550	4550
4552	4552
4553	4553
4561	4561
4562	4562
4564	4564
4565	4565
4566	4566
4567	4567
4568	4568
4569	4569
4570	4570
4571	4571
4573	4573
4574	4574
4575	4575
4576	4576
4577	4577
4577	1284
4579	4579
4582	4582
4585	4585
4586	4586
4586	12380
4586	43926
4586	55614
4587	4587
4588	4588
4594	4594
4594	33128
4595	4595
4596	4596
4597	4597
4598	4598
4599	4599
4599	53964
4599	65123
4600	4600
4600	60246
4600	80568
4603	4603
4604	4604
4605	4605
4608	4608
4609	4609
4611	4611
4612	4612
4612	36457
4613	4613
4616	4616
4619	4619
4620	4620
6585	6585
6586	6586
6587	6587
6588	6588
6590	6590
6592	6592
6593	6593
6593	29333
6594	6594
6594	3959
6594	25011
6595	6595
6595	7805
6595	36507
6595	38974
6595	46510
6595	49487
6595	51910
6595	73052
6595	75377
6599	6599
6599	10698
6599	11684
6599	12962
6599	15487
6599	21391
6599	29468
6599	30159
6599	43510
6599	46856
6599	49553
6599	52547
6599	63371
6599	64917
6599	68070
6599	69549
6599	79724
6599	81777
6600	6600
6602	6602
6605	6605
6606	6606
6606	5293
6606	45368
6606	66994
6607	6607
6609	6609
6611	6611
6614	6614
6615	6615
6616	6616
6617	6617
6618	6618
6619	6619
6621	6621
6623	6623
6625	6625
6626	6626
6631	6631
6633	6633
6635	6635
6641	6641
6642	6642
6643	6643
6644	6644
6646	6646
6648	6648
6656	6656
6662	6662
6663	6663
6664	6664
6664	8083
6664	25003
6664	53634
6664	289
6664	13748
6664	17706
6664	27247
6664	47461
6664	50256
6664	55954
6664	55961
6664	64571
6664	68012
6664	74341
6664	15827
6664	17819
6664	19127
6664	22256
6664	78117
6664	16775
6664	9010
6664	19902
6664	20859
6664	24217
6664	26143
6664	36220
6664	37779
6664	40372
6664	74719
6664	23131
6664	81488
6664	23868
6664	84959
6664	30039
6664	34385
6664	45492
6664	31385
6664	39076
6664	16868
6664	50579
6664	51522
6664	6095
6664	28683
6664	52783
6664	22383
6664	54289
6664	57172
6664	23938
6664	58361
6664	32952
6664	39381
6664	58681
6664	64729
6664	67010
6664	41923
6664	68953
6664	11516
6664	25251
6664	70117
6664	77631
6664	79162
6664	54268
6665	6665
6666	6666
6669	6669
6670	6670
6671	6671
6673	6673
6674	6674
6674	59873
6675	6675
6675	31183
6675	48136
6675	79004
6675	48764
6675	62089
6675	10277
6675	43866
6675	80241
6680	6680
6681	6681
6686	6686
6687	6687
6689	6689
6690	6690
6691	6691
6692	6692
6694	6694
6697	6697
6698	6698
6700	6700
6701	6701
6702	6702
6704	6704
6705	6705
6706	6706
6707	6707
6709	6709
6711	6711
9398	9398
9400	9400
9401	9401
9402	9402
9404	9404
9407	9407
9408	9408
9410	9410
9410	35845
9410	36893
9410	42715
9410	49850
9411	9411
9411	37100
9411	42383
9411	44206
9411	53103
9411	64112
9411	75614
9411	75998
9411	76974
9415	9415
9416	9416
9417	9417
9419	9419
9421	9421
9424	9424
9427	9427
9428	9428
9430	9430
9432	9432
9434	9434
9435	9435
9435	14101
9435	20169
9437	9437
9438	9438
9445	9445
9446	9446
9447	9447
9449	9449
9450	9450
9451	9451
9452	9452
9453	9453
9454	9454
9455	9455
9457	9457
9458	9458
9460	9460
9461	9461
9462	9462
9463	9463
9463	6065
9463	41972
9463	48375
9463	53598
9464	9464
9465	9465
9466	9466
9467	9467
9467	79743
9469	9469
9471	9471
9474	9474
9475	9475
9476	9476
9477	9477
9481	9481
9482	9482
9482	3223
9483	9483
9484	9484
9485	9485
9486	9486
9488	9488
9491	9491
9491	32005
9491	32563
9491	46681
9491	49798
9491	51086
9491	53322
9491	54576
9491	55024
9491	63458
9491	65428
9491	66285
9491	75239
9491	82159
9491	82781
9492	9492
9493	9493
9495	9495
9495	10017
9495	14603
9495	29222
9495	33832
9495	37341
9495	39521
9495	47564
9495	48760
9495	49716
9495	54246
9495	56858
9495	58433
9495	71296
9495	72502
9496	9496
9497	9497
9499	9499
9500	9500
9500	15347
9500	39772
9500	41847
9500	52033
9500	57714
9500	61145
9500	85091
9500	85820
9501	9501
9502	9502
9504	9504
9506	9506
9510	9510
9512	9512
9512	9720
9512	39845
9512	40300
9514	9514
9515	9515
9517	9517
9518	9518
9519	9519
9520	9520
9520	71670
11935	11935
11935	30064
11935	37183
11935	44744
11935	45658
11935	82875
11937	11937
11938	11938
11940	11940
11941	11941
11943	11943
11944	11944
11945	11945
11947	11947
11950	11950
11951	11951
11953	11953
11954	11954
11954	9414
11954	18192
11955	11955
11957	11957
11958	11958
11958	50909
11960	11960
11962	11962
11962	13879
11962	62350
11963	11963
11964	11964
11965	11965
11965	52974
11966	11966
11968	11968
11972	11972
11973	11973
11974	11974
11978	11978
11978	40587
11978	44580
11980	11980
11981	11981
11982	11982
11985	11985
11986	11986
11987	11987
11987	5886
11993	11993
11995	11995
11996	11996
11997	11997
11999	11999
12000	12000
12001	12001
12004	12004
12006	12006
12010	12010
12011	12011
12015	12015
12016	12016
12017	12017
12021	12021
12022	12022
12024	12024
12025	12025
12026	12026
12028	12028
12028	17438
12028	18437
12028	51469
12028	73854
12028	80399
12028	17527
